[runlim] version:		1.10
[runlim] time limit:		311040000 seconds
[runlim] real time limit:	311040000 seconds
[runlim] space limit:		7976 MB
[runlim] argv[0]:		./bin/SNNT
[runlim] argv[1]:		--smtfilter-timeout=10000
[runlim] argv[2]:		--verifier=NNEnumSimple
[runlim] argv[3]:		test/parsing/examples/zeppelinSmallStateSpace/formula
[runlim] argv[4]:		test/parsing/examples/zeppelinSmallStateSpace/fixed
[runlim] argv[5]:		test/parsing/examples/zeppelinSmallStateSpace/mapping
[runlim] argv[6]:		test/networks/zeppelin-2000000-64-64.onnx
[runlim] argv[7]:		experiments/zeppelin-2/result.jld
[runlim] start:			Tue May 24 08:20:22 2022
[runlim] main pid:		25662
[runlim] sample:		10.0 time, 10.5 real, 1234.0 MB
[runlim] sample:		20.0 time, 20.5 real, 1270.2 MB
[runlim] sample:		30.0 time, 30.5 real, 1255.6 MB
[runlim] sample:		40.0 time, 40.5 real, 1290.5 MB
[runlim] sample:		50.0 time, 50.5 real, 1301.8 MB
[runlim] sample:		60.0 time, 60.5 real, 1322.3 MB
[runlim] sample:		70.0 time, 70.5 real, 1290.6 MB
[runlim] sample:		80.0 time, 80.5 real, 1304.5 MB
[runlim] sample:		90.0 time, 90.5 real, 1312.3 MB
[runlim] sample:		100.0 time, 100.5 real, 1335.8 MB
[runlim] sample:		110.0 time, 110.5 real, 1335.8 MB
[runlim] sample:		120.0 time, 120.5 real, 1335.8 MB
[runlim] sample:		130.0 time, 130.5 real, 1335.9 MB
[runlim] sample:		140.0 time, 140.5 real, 1335.9 MB
[runlim] sample:		149.9 time, 150.5 real, 1335.9 MB
[runlim] sample:		160.0 time, 160.5 real, 1335.9 MB
[runlim] sample:		169.9 time, 170.5 real, 1335.9 MB
[runlim] sample:		180.0 time, 180.5 real, 1335.9 MB
[runlim] sample:		189.9 time, 190.5 real, 1335.9 MB
[runlim] sample:		200.0 time, 200.5 real, 1337.1 MB
[runlim] sample:		209.9 time, 210.5 real, 1337.2 MB
[runlim] sample:		219.9 time, 220.5 real, 1337.2 MB
[runlim] sample:		229.9 time, 230.5 real, 1337.3 MB
[runlim] sample:		240.0 time, 240.5 real, 1338.2 MB
