[runlim] version:		1.10
[runlim] sample:		1379.8 time, 1380.1 real, 3984.2 MB
[runlim] sample:		1389.8 time, 1390.1 real, 3984.3 MB
[runlim] sample:		1399.8 time, 1400.1 real, 3984.3 MB
[runlim] sample:		1409.8 time, 1410.1 real, 3984.3 MB
[runlim] sample:		1419.8 time, 1420.1 real, 3984.3 MB
[runlim] sample:		1429.8 time, 1430.1 real, 3984.3 MB
[runlim] sample:		1439.8 time, 1440.1 real, 3984.5 MB
[runlim] sample:		1449.8 time, 1450.1 real, 3984.5 MB
[runlim] sample:		1459.8 time, 1460.1 real, 3984.5 MB
[runlim] sample:		1469.8 time, 1470.1 real, 3984.5 MB
[runlim] sample:		1479.8 time, 1480.1 real, 3984.5 MB
[runlim] sample:		1489.8 time, 1490.1 real, 3984.5 MB
[runlim] sample:		1499.8 time, 1500.1 real, 3984.5 MB
[runlim] sample:		1509.8 time, 1510.1 real, 3984.5 MB
[runlim] sample:		1519.8 time, 1520.1 real, 3984.5 MB
[runlim] sample:		1529.8 time, 1530.1 real, 3984.5 MB
[runlim] sample:		1539.8 time, 1540.1 real, 3984.5 MB
[runlim] sample:		1549.8 time, 1550.1 real, 3984.6 MB
[runlim] sample:		1559.8 time, 1560.1 real, 3984.6 MB
[runlim] sample:		1569.8 time, 1570.1 real, 3984.6 MB
[runlim] sample:		1579.8 time, 1580.1 real, 3984.7 MB
[runlim] sample:		1589.8 time, 1590.1 real, 3985.8 MB
[runlim] sample:		1599.8 time, 1600.1 real, 3991.6 MB
[runlim] sample:		1609.8 time, 1610.1 real, 3991.6 MB
[runlim] sample:		1619.8 time, 1620.1 real, 3991.6 MB
[runlim] sample:		1629.8 time, 1630.1 real, 3991.6 MB
[runlim] sample:		1639.8 time, 1640.1 real, 3991.6 MB
[runlim] sample:		1649.8 time, 1650.1 real, 3991.6 MB
[runlim] sample:		1659.8 time, 1660.1 real, 3991.6 MB
[runlim] sample:		1669.8 time, 1670.1 real, 3991.6 MB
[runlim] sample:		1679.8 time, 1680.1 real, 3991.6 MB
[runlim] sample:		1689.8 time, 1690.1 real, 3991.6 MB
[runlim] sample:		1699.8 time, 1700.1 real, 3991.6 MB
[runlim] sample:		1709.8 time, 1710.1 real, 3991.7 MB
[runlim] sample:		1719.8 time, 1720.1 real, 3991.7 MB
[runlim] sample:		1729.8 time, 1730.1 real, 3991.7 MB
[runlim] sample:		1739.8 time, 1740.1 real, 3991.7 MB
[runlim] sample:		1749.8 time, 1750.1 real, 3991.7 MB
[runlim] sample:		1759.8 time, 1760.1 real, 3991.7 MB
[runlim] sample:		1769.8 time, 1770.1 real, 3991.8 MB
[runlim] sample:		1779.8 time, 1780.1 real, 3991.8 MB
