[runlim] version:		1.10
[runlim] sample:		979.9 time, 980.6 real, 1043.5 MB
[runlim] sample:		989.9 time, 990.6 real, 1044.7 MB
[runlim] sample:		999.9 time, 1000.6 real, 1046.4 MB
[runlim] sample:		1009.9 time, 1010.6 real, 1047.9 MB
[runlim] sample:		1019.9 time, 1020.6 real, 1050.0 MB
[runlim] sample:		1029.9 time, 1030.6 real, 1051.9 MB
[runlim] sample:		1039.9 time, 1040.6 real, 1051.9 MB
[runlim] sample:		1049.9 time, 1050.6 real, 1051.9 MB
[runlim] sample:		1059.9 time, 1060.6 real, 1051.9 MB
[runlim] sample:		1069.9 time, 1070.6 real, 1051.9 MB
[runlim] sample:		1079.9 time, 1080.6 real, 1052.4 MB
[runlim] sample:		1089.9 time, 1090.6 real, 1053.0 MB
[runlim] sample:		1099.9 time, 1100.6 real, 1053.0 MB
[runlim] sample:		1109.9 time, 1110.6 real, 1053.0 MB
[runlim] sample:		1119.9 time, 1120.6 real, 1053.0 MB
[runlim] sample:		1129.9 time, 1130.6 real, 1053.0 MB
[runlim] sample:		1139.9 time, 1140.6 real, 1053.0 MB
[runlim] sample:		1149.9 time, 1150.6 real, 1053.0 MB
[runlim] sample:		1159.9 time, 1160.6 real, 1053.0 MB
[runlim] sample:		1169.9 time, 1170.6 real, 1053.0 MB
[runlim] sample:		1179.9 time, 1180.6 real, 1053.0 MB
[runlim] sample:		1189.8 time, 1190.6 real, 1053.0 MB
[runlim] sample:		1199.8 time, 1200.6 real, 1062.4 MB
[runlim] sample:		1209.8 time, 1210.6 real, 1064.0 MB
[runlim] sample:		1219.8 time, 1220.6 real, 1065.9 MB
[runlim] sample:		1229.8 time, 1230.6 real, 1066.4 MB
[runlim] sample:		1239.8 time, 1240.6 real, 1066.4 MB
[runlim] sample:		1249.8 time, 1250.6 real, 1066.4 MB
[runlim] sample:		1259.8 time, 1260.6 real, 1066.4 MB
[runlim] sample:		1269.8 time, 1270.6 real, 1066.4 MB
[runlim] sample:		1279.8 time, 1280.6 real, 1066.4 MB
[runlim] sample:		1289.8 time, 1290.6 real, 1066.4 MB
[runlim] sample:		1299.8 time, 1300.6 real, 1066.4 MB
[runlim] sample:		1309.8 time, 1310.6 real, 1066.4 MB
[runlim] sample:		1319.8 time, 1320.6 real, 1066.4 MB
[runlim] sample:		1329.8 time, 1330.6 real, 1066.4 MB
[runlim] sample:		1339.8 time, 1340.6 real, 1066.4 MB
[runlim] sample:		1349.8 time, 1350.6 real, 1066.4 MB
[runlim] sample:		1359.8 time, 1360.6 real, 1066.4 MB
[runlim] sample:		1369.8 time, 1370.6 real, 1066.4 MB
[runlim] sample:		1379.8 time, 1380.6 real, 1067.9 MB
[runlim] sample:		1389.8 time, 1390.6 real, 1068.2 MB
[runlim] sample:		1399.8 time, 1400.6 real, 1069.4 MB
[runlim] sample:		1409.8 time, 1410.6 real, 1071.4 MB
[runlim] sample:		1419.8 time, 1420.6 real, 1073.7 MB
[runlim] sample:		1429.8 time, 1430.6 real, 1073.8 MB
[runlim] sample:		1439.7 time, 1440.6 real, 1073.8 MB
[runlim] sample:		1449.7 time, 1450.6 real, 1073.8 MB
[runlim] sample:		1459.7 time, 1460.6 real, 1073.8 MB
[runlim] sample:		1469.7 time, 1470.6 real, 1073.8 MB
[runlim] sample:		1479.7 time, 1480.6 real, 1073.8 MB
[runlim] sample:		1489.7 time, 1490.6 real, 1073.8 MB
[runlim] sample:		1499.7 time, 1500.6 real, 1073.8 MB
[runlim] sample:		1509.7 time, 1510.6 real, 1073.8 MB
[runlim] sample:		1519.7 time, 1520.6 real, 1073.9 MB
[runlim] sample:		1529.7 time, 1530.6 real, 1073.9 MB
[runlim] sample:		1539.7 time, 1540.6 real, 1073.9 MB
[runlim] sample:		1549.7 time, 1550.6 real, 1073.9 MB
[runlim] sample:		1559.7 time, 1560.6 real, 1073.9 MB
[runlim] sample:		1569.7 time, 1570.6 real, 1073.9 MB
[runlim] sample:		1579.7 time, 1580.6 real, 1074.0 MB
[runlim] sample:		1589.7 time, 1590.6 real, 1074.0 MB
[runlim] sample:		1599.6 time, 1600.6 real, 1074.2 MB
[runlim] sample:		1609.6 time, 1610.6 real, 1074.2 MB
[runlim] sample:		1619.6 time, 1620.6 real, 1074.9 MB
[runlim] sample:		1629.6 time, 1630.6 real, 1076.2 MB
[runlim] sample:		1639.6 time, 1640.6 real, 1076.2 MB
[runlim] sample:		1649.6 time, 1650.6 real, 1076.2 MB
[runlim] sample:		1659.6 time, 1660.6 real, 1076.2 MB
[runlim] sample:		1669.6 time, 1670.6 real, 1076.2 MB
[runlim] sample:		1679.6 time, 1680.6 real, 1076.2 MB
[runlim] sample:		1689.6 time, 1690.6 real, 1076.2 MB
[runlim] sample:		1699.5 time, 1700.6 real, 1076.2 MB
[runlim] sample:		1709.5 time, 1710.6 real, 1076.2 MB
[runlim] sample:		1719.5 time, 1720.6 real, 1076.2 MB
[runlim] sample:		1729.5 time, 1730.6 real, 1076.2 MB
[runlim] sample:		1739.5 time, 1740.6 real, 1076.2 MB
[runlim] sample:		1749.5 time, 1750.6 real, 1076.2 MB
[runlim] sample:		1759.5 time, 1760.6 real, 1076.3 MB
[runlim] sample:		1769.5 time, 1770.6 real, 1076.3 MB
[runlim] sample:		1779.5 time, 1780.6 real, 1076.3 MB
[runlim] sample:		1789.5 time, 1790.6 real, 1076.3 MB
[runlim] sample:		1799.5 time, 1800.6 real, 1079.3 MB
[runlim] sample:		1809.5 time, 1810.6 real, 1079.3 MB
[runlim] sample:		1819.5 time, 1820.6 real, 1079.3 MB
[runlim] sample:		1829.5 time, 1830.6 real, 1079.3 MB
